ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;1;3;359;1194040;;73;1;3;3;73;24;359;18;759;1194040
2015;11;4;12;706;1194040;;76;4;12;12;76;80;706;18;759;1194040
2015;11;1;3;805;1194040;;73;1;3;3;73;25;805;18;759;1194040
2015;11;1;1;904;1194040;;73;1;1;1;73;15;904;18;759;1194040
2015;11;4;12;1407;1194040;;76;4;12;12;76;83;1407;18;759;1194040
2015;11;1;3;1506;1194040;;73;1;3;3;73;26;1506;18;759;1194040
2015;11;1;1;2108;1194040;;73;1;1;1;73;16;2108;18;759;1194040
2015;11;1;3;3353;1194040;;73;1;3;3;73;28;3353;18;759;1194040
2015;11;4;12;3403;1194040;;76;4;12;12;76;85;3403;18;759;1194040
2015;11;4;12;3809;1194040;;76;4;12;12;76;86;3809;18;759;1194040
2015;11;1;3;4658;1194040;;73;1;3;3;73;30;4658;18;759;1194040
2015;11;4;12;5036;1194040;;76;4;12;12;76;88;5036;18;759;1194040
2015;11;4;12;1209;1199010;;76;4;12;12;76;82;1209;18;578;1199010
2015;11;1;1;2108;1199010;;73;1;1;1;73;16;2108;18;578;1199010
2015;11;4;12;3809;1199010;;76;4;12;12;76;86;3809;18;578;1199010
2015;11;1;3;4005;1199010;;73;1;3;3;73;29;4005;18;578;1199010
2015;11;1;3;4658;1199010;;73;1;3;3;73;30;4658;18;578;1199010
2015;11;2;5;4906;1199010;;74;2;5;5;74;38;4906;18;578;1199010
2015;11;3;7;5069;1199010;;75;3;7;7;75;52;5069;18;578;1199010
2015;11;4;12;3809;1211050;;76;4;12;12;76;86;3809;18;591;1211050
2015;11;4;13;4302;1211050;;76;4;13;13;76;91;4302;18;591;1211050
2015;11;4;12;5036;1211050;;76;4;12;12;76;88;5036;18;591;1211050
2015;11;3;7;5069;1211050;;75;3;7;7;75;52;5069;18;591;1211050
2015;11;4;12;1209;1211160;;76;4;12;12;76;82;1209;18;677;1211160
2015;11;1;2;3908;1211160;;73;1;2;2;73;20;3908;18;677;1211160
2015;11;3;7;102;1211260;;75;3;7;7;75;46;102;18;814;1211260
2015;11;4;12;1407;1211260;;76;4;12;12;76;83;1407;18;814;1211260
