ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO
2015;12;1;3;805;1191030;2500.00
2015;12;1;3;805;1191030;2500.00
2015;12;1;3;805;1192050;50.00
2015;12;1;3;805;1192130;550.00
2015;12;1;3;805;1194040;300.00
2015;12;1;3;805;1212090;1200.00
2015;12;1;3;805;1212100;1100.00
2015;12;1;3;805;1213110;950.00
2015;12;1;3;805;1310010;900.00
2015;12;1;3;805;1332080;960.00
2015;12;1;3;805;1332220;1100.00
2015;12;1;3;805;1332340;800.00
2015;12;1;3;805;1333030;490.00
2015;12;1;3;805;1340021;5430.00
2015;12;1;3;805;1340021;5430.00
2015;12;1;3;805;1340022;5330.00
2015;12;1;3;805;1340022;5330.00
2015;12;1;3;805;1350010;7000.00
2015;12;1;3;805;91194040;500.00
2015;12;1;3;1506;1110020;1000.00
2015;12;1;3;1506;1110070;550.00
2015;12;1;3;1506;1110070;550.00
2015;12;1;3;1506;1130010;50.00
2015;12;1;3;1506;1191030;2500.00
2015;12;1;3;1506;1191030;2500.00
2015;12;1;3;1506;1192130;550.00
2015;12;1;3;1506;1193010;1100.00
2015;12;1;3;1506;1193020;600.00
2015;12;1;3;1506;1194040;300.00
2015;12;1;3;1506;1216040;550.00
2015;12;1;3;1506;1310010;900.00
2015;12;1;3;1506;1331040;1100.00
2015;12;1;3;1506;1332080;960.00
2015;12;1;3;1506;1332220;1100.00
2015;12;1;3;1506;1332340;800.00
2015;12;1;3;1506;1332360;1500.00
2015;12;1;3;1506;1333030;490.00
2015;12;1;3;1506;1340021;5430.00
2015;12;1;3;1506;1340022;5330.00
2015;12;1;3;1506;1340022;5330.00
2015;12;1;3;1506;1350010;7000.00
2015;12;1;3;1506;1391060;26000.00
2015;12;1;3;1506;1392010;0
2015;12;1;3;1506;91194040;500.00
2015;12;1;3;2256;1110070;600.00
2015;12;1;3;2256;1191040;2500.00
2015;12;1;3;2256;1191040;2300.00
2015;12;1;3;2256;1192050;40.00
2015;12;1;3;2256;1193020;400.00
2015;12;1;3;2256;1216040;600.00
2015;12;1;3;2256;1310010;710.00
2015;12;1;3;2256;1332080;700.00
2015;12;1;3;2256;1332340;400.00
2015;12;1;3;2256;1332360;1200.00
2015;12;1;3;2256;1333030;520.00
2015;12;1;3;2256;1340022;5080.00
2015;12;1;3;2256;1340022;5080.00
2015;12;1;3;2256;1350010;7300.00
2015;12;1;3;2256;1350010;7300.00
2015;12;1;3;2256;1391060;29000.00
2015;12;1;3;2256;91194040;90.00
2015;12;1;3;3353;1110070;550.00
2015;12;1;3;3353;1130010;50.00
2015;12;1;3;3353;1191030;2500.00
2015;12;1;3;3353;1191030;2500.00
2015;12;1;3;3353;1193020;600.00
2015;12;1;3;3353;1194040;300.00
2015;12;1;3;3353;1332080;960.00
2015;12;1;3;3353;1332080;960.00
2015;12;1;3;3353;1332340;800.00
2015;12;1;3;3353;1333030;490.00
2015;12;1;3;3353;1340022;5330.00
2015;12;1;3;3353;1350010;7000.00
2015;12;1;3;3353;1350010;7000.00
2015;12;1;3;3353;1391060;0
2015;12;1;3;3353;91194040;500.00
2015;12;1;3;4005;1110020;1000.00
2015;12;1;3;4005;1110070;550.00
2015;12;1;3;4005;1130010;50.00
2015;12;1;3;4005;1191030;2500.00
2015;12;1;3;4005;1191030;2500.00
2015;12;1;3;4005;1191030;2500.00
2015;12;1;3;4005;1192050;50.00
2015;12;1;3;4005;1193010;1100.00
2015;12;1;3;4005;1193020;600.00
