NOME;COD_PROD
PÊSSEGO;1332410
PIAÇAVA (COQUILHO);2209090
PIAÇAVA (FIBRA);2203100
Pimenta;1.215.270
PIMENTA-DO-REINO;1391060
Pimentão  ;1.212.080
PINHÃO;2208210
PITOMBA;2208220
Pós larvas de camarão - criação;3.227.060
PUPUNHA (CÔCO) (extrativismo);2209110
PUPUNHA (CÔCO) (cultivo);1333060
Quiabo  ;1.212.090
Rabanete  ;1.213.140
RAMI (FIBRA);1122080
RAMI (HASTE);1122090
Repolho ;1.211.260
Rúcula ou pinchão  ;1.211.270
SAGU (MEDULA) (extrativismo);2209120
SAGU (MEDULA) (cultivo);1399070
Salsa   ;1.215.300
SÊMEN DE BOVINOS;1512030
SOJA EM GRÃO;1150010
SORGO EM GRÃO;1110090
SORGO VASSOURA;1122100
SORVA (GOMA NÃO ELÁSTICA);2204090
Taioba (folha)  ;1.211.290
TANGERINA;1331070
TOMATE ESTAQUEADO;1212100
TOMATE ESTAQUEADO (rasteiro + estaqueado);1000720
TOMATE RASTEIRO;1199040
TOMATE RASTEIRO (rasteiro + estaqueado);1000720
TOURO;1511090
TRIGO EM GRÃO;1110100
TRIGO PRETO (MOURISCO, SARRACENO) EM GRÃO;1110110
TRITICALE EM GRÃO;1110120
TUCUMÃ (CÔCO);2205110
TUCUMÃ (FIBRA);2203110
TUNGUE;1394040
UCUUBA (AMÊNDOA);2205120
URUCUM (cultivo);1391070
URUCUM (extrativismo);2209130
UVA (PARA MESA);1320010
UVA ( Total - uva para mesa + uva para vinho);1320710
UVA (PARA VINHO);1320020
VACA;1511100
VACA EM LACTAÇÃO;1511110
VAGEM (FEIJÃO VAGEM);1214060
 ;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
